序号,日期,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,20240527,300254,仟源医药,20.040485382080078,11.86,11.86,594168192,2668756116.7,2865596157.18,22.30820655822754,0.0,1,3.458277940750122,1/1,1,化学制药
2,20240527,300905,宝丽迪,20.0,43.98,43.98,931771776,5166915226.139999,7753663268.879999,19.468835830688477,0.0,1,1.3345246315002441,1/1,1,塑料制品
3,20240527,301361,众智科技,19.99101448059082,26.71,26.71,515959232,776833640.0,3107334560.0,67.71964263916016,0.0,1,7.014387607574463,2/2,3,电网设备
4,20240527,300822,贝仕达克,12.598424911499023,14.3,15.24,272365248,3184011459.2000003,3432107250.0,8.71816635131836,0.0,1,2.7060959339141846,0/0,1,消费电子
5,20240527,002016,世荣兆业,10.082645416259766,6.66,6.66,75889345,5388576909.12,5388576909.12,1.4598150253295898,0.0,1,1.5160130262374878,1/1,1,房地产开
6,20240527,600969,郴电国际,10.082645416259766,6.66,6.66,28534064,2464536223.44,2464536196.8,1.1577863693237305,0.0,1,0.9602376222610474,2/2,3,电力行业
7,20240527,600310,广西能源,10.052909851074219,4.16,4.16,597748480,6097356603.52,6097356595.2,9.977994918823242,0.0,1,5.365912437438965,2/2,3,电力行业
8,20240527,600268,国电南自,10.028653144836426,7.68,7.68,525122032,6407563937.28,6504168775.679999,8.396188735961914,0.0,1,4.801170825958252,1/1,1,电网设备
9,20240527,603068,博通集成,10.017498016357422,25.15,25.15,432237344,3783187894.8999996,3783187894.8999996,12.167384147644043,0.0,0,5.652203559875488,2/2,2,半导体
10,20240527,605162,新中港,10.0,9.02,9.02,63964428,915248494.8199999,3612418356.7999997,6.988749980926514,0.0,1,1.2363100051879883,2/2,3,公用事业
11,20240527,002246,北化股份,9.990485191345215,11.56,11.56,509097264,6346842218.64,6346842288.0,8.152071952819824,0.0,0,0.46683189272880554,3/2,2,化学制品
