day,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-01,27.5,27.46,27.75,27.31,411258,1132609344.0,1.6,0.07,0.02,0.69
2017-03-02,27.5,27.31,27.63,27.23,365122,999655152.0,1.46,-0.55,-0.15,0.61
2017-03-03,27.28,27.3,27.42,27.05,395697,1077032416.0,1.35,-0.04,-0.01,0.66
2017-03-06,27.31,28.15,28.25,27.31,874328,2449349232.0,3.44,3.11,0.85,1.46
2017-03-07,28.2,28.23,28.36,28.05,514197,1450328128.0,1.1,0.28,0.08,0.86
2017-03-08,28.27,28.09,28.48,27.85,495694,1397943472.0,2.23,-0.5,-0.14,0.83
2017-03-09,28.23,28.4,28.88,28.23,732048,2085704816.0,2.31,1.1,0.31,1.23
2017-03-10,28.51,28.96,29.04,28.3,947506,2728650608.0,2.61,1.97,0.56,1.59
2017-03-13,29.0,28.87,29.46,28.6,958116,2789925952.0,2.97,-0.31,-0.09,1.6
2017-03-14,28.88,28.71,28.96,28.48,611493,1756199968.0,1.66,-0.55,-0.16,1.02
2017-03-15,28.74,29.3,29.55,28.6,782325,2286744176.0,3.31,2.06,0.59,1.31
2017-03-16,29.39,29.23,29.8,29.06,649656,1904371488.0,2.53,-0.24,-0.07,1.09
2017-03-17,29.22,28.81,29.48,28.8,565884,1643675872.0,2.33,-1.44,-0.42,0.95
2017-03-20,29.08,29.26,29.45,28.89,661260,1928051344.0,1.94,1.56,0.45,1.11
2017-03-21,29.4,30.34,30.35,29.23,1135841,3390731520.0,3.83,3.69,1.08,1.9
2017-03-22,30.13,30.5,30.69,30.01,865701,2630659168.0,2.24,0.53,0.16,1.45
2017-03-23,30.38,31.2,31.26,30.18,865868,2653782752.0,3.54,2.3,0.7,1.45
2017-03-24,31.36,31.54,32.68,31.29,1282814,4089320720.0,4.46,1.09,0.34,2.15
2017-03-27,31.51,30.71,32.21,30.68,1043188,3267187184.0,4.85,-2.63,-0.83,1.75
2017-03-28,30.75,30.8,31.16,30.25,754173,2307174944.0,2.96,0.29,0.09,1.26
2017-03-29,30.79,31.2,31.39,30.48,657346,2034049792.0,2.95,1.3,0.4,1.1
2017-03-30,31.08,30.72,31.36,30.1,764244,2350905184.0,4.04,-1.54,-0.48,1.28
2017-03-31,30.64,31.7,31.7,30.54,825607,2580533488.0,3.78,3.19,0.98,1.38
2017-04-05,31.75,31.46,31.94,31.26,986519,3111440160.0,2.15,-0.76,-0.24,1.65
2017-04-06,31.39,32.0,32.0,31.18,739795,2338718336.0,2.61,1.72,0.54,1.24
2017-04-07,31.93,31.81,32.6,31.75,805844,2588674896.0,2.66,-0.59,-0.19,1.35
2017-04-10,31.81,31.52,31.94,31.41,542803,1715762480.0,1.67,-0.91,-0.29,0.91
2017-04-11,31.41,30.83,31.59,29.72,1249300,3826328896.0,5.93,-2.19,-0.69,2.09
2017-04-12,30.5,30.81,31.09,30.2,585433,1800331872.0,2.89,-0.06,-0.02,0.98
