,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-03-01,355.1,356.61,358.2,355.0,21944,782349008.0,0.9,0.55,1.95,0.17
1,2017-03-02,356.71,356.82,357.0,354.53,22104,785560416.0,0.69,0.06,0.21,0.18
2,2017-03-03,355.0,356.54,358.22,355.0,14154,505108560.0,0.9,-0.08,-0.28,0.11
3,2017-03-06,357.66,358.96,359.54,356.55,22819,818625872.0,0.84,0.68,2.42,0.18
4,2017-03-07,358.03,367.2,368.88,358.03,46287,1694198544.0,3.02,2.3,8.24,0.37
5,2017-03-08,367.18,367.28,368.49,365.5,16038,588667680.0,0.81,0.02,0.08,0.13
6,2017-03-09,367.0,369.9,369.98,365.56,23406,860084032.0,1.2,0.71,2.62,0.19
7,2017-03-10,369.92,369.85,377.0,368.36,40951,1524343088.0,2.34,-0.01,-0.05,0.33
8,2017-03-13,370.05,371.55,374.33,367.53,27674,1027592800.0,1.84,0.46,1.7,0.22
9,2017-03-14,371.55,369.5,373.85,368.34,20416,756359632.0,1.48,-0.55,-2.05,0.16
10,2017-03-15,369.5,374.68,375.15,369.01,25155,935994832.0,1.66,1.4,5.18,0.2
11,2017-03-16,376.56,374.77,378.3,372.8,25023,938231440.0,1.47,0.02,0.09,0.2
12,2017-03-17,373.1,378.48,384.45,373.1,34700,1315336848.0,3.03,0.99,3.71,0.28
13,2017-03-20,380.5,386.41,386.71,378.88,31546,1209603920.0,2.07,2.1,7.93,0.25
14,2017-03-21,386.55,394.01,396.5,386.5,48461,1901883744.0,2.59,1.97,7.6,0.39
15,2017-03-22,390.53,394.48,394.6,385.0,45533,1775217760.0,2.44,0.12,0.47,0.36
16,2017-03-23,392.03,389.79,393.99,386.6,34505,1345058752.0,1.87,-1.19,-4.69,0.27
17,2017-03-24,392.32,386.82,393.22,385.0,33288,1292313392.0,2.11,-0.76,-2.97,0.26
18,2017-03-27,386.03,378.82,389.26,378.39,53690,2054742976.0,2.81,-2.07,-8.0,0.43
19,2017-03-28,379.95,380.26,381.15,376.66,41187,1558258560.0,1.19,0.38,1.44,0.33
20,2017-03-29,381.01,383.65,385.8,379.9,37300,1429610960.0,1.55,0.89,3.39,0.3
21,2017-03-30,383.0,386.14,386.89,382.6,31613,1216016528.0,1.12,0.65,2.49,0.25
22,2017-03-31,386.2,386.36,388.0,384.18,24474,945503280.0,0.99,0.06,0.22,0.19
23,2017-04-05,385.66,389.66,394.99,385.0,40790,1594997312.0,2.59,0.85,3.3,0.32
24,2017-04-06,389.01,391.91,393.0,386.63,28857,1125204240.0,1.63,0.58,2.25,0.23
25,2017-04-07,392.99,392.87,394.0,389.6,24097,945589200.0,1.12,0.24,0.96,0.19
26,2017-04-10,394.0,389.2,394.0,388.0,28869,1126296272.0,1.53,-0.93,-3.67,0.23
27,2017-04-11,388.05,385.29,390.7,380.6,43531,1679537552.0,2.6,-1.0,-3.91,0.35
28,2017-04-12,385.29,390.23,391.0,384.8,27003,1049245584.0,1.61,1.28,4.94,0.21
29,2017-04-13,390.78,398.39,398.59,390.51,45648,1805008864.0,2.07,2.09,8.16,0.36
30,2017-04-14,399.43,395.45,399.88,395.0,23647,938378992.0,1.22,-0.74,-2.94,0.19
31,2017-04-17,391.0,395.79,398.28,388.55,28794,1136763712.0,2.46,0.09,0.34,0.23
