序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,心灵鸡汤娱乐,0.42,0.26,172.82,0.24,0.44,0.2,0.15,13457298.0,-0.02,111308440.0,35795972.0,156.34,343.67,105.CSSE
2,心灵鸡汤娱乐 (权证),0.02,0.01,135.94,0.01,0.02,0.01,0.01,,,1097455.0,14431.0,170.31,,105.CSSEL
3,Jet.AI Inc Wt,0.06,0.03,126.54,0.06,0.07,0.06,0.03,,,8972.0,578.0,42.31,,105.JTAIW
4,Chicken Soup for the Soul Enter,0.89,0.47,112.5,0.58,1.12,0.53,0.42,6155615.0,,899211.0,758291.0,141.74,13.04,105.CSSEP
5,Artelo Biosciences Inc Wt,0.02,0.01,68.38,0.02,0.02,0.01,0.01,,,650.0,10.0,67.52,,105.ARTLW
6,BranchOut Food Inc,1.96,0.79,67.52,1.94,2.2,1.68,1.17,7926734.0,-2.02,61216078.0,120226478.0,44.44,1513.66,105.BOF
7,Psyence Biomedical Ltd Wt,0.1,0.04,58.33,0.1,0.13,0.05,0.06,,,44056.0,3967.0,123.83,,105.PBMWW
8,Amesite Inc,3.11,1.11,55.5,3.8,4.34,2.96,2.0,7906988.0,-2.15,61009879.0,222552260.0,69.0,2399.66,105.AMST
9,Prenetics Global Ltd-A,6.96,2.39,52.19,4.55,7.84,4.55,4.57,84887166.0,-1.35,1683984.0,11783655.0,71.95,13.8,105.PRE
10,Kernel Group Holdings Inc Wt,0.12,0.04,49.19,0.08,0.12,0.08,0.08,,,131400.0,11595.0,49.56,,105.KRNLW
11,理臣咨询,0.84,0.28,49.13,0.67,0.97,0.65,0.56,22856687.0,2.74,11751213.0,9070034.0,57.14,42.93,105.LICN
12,Protagenic Therapeutics Inc Wt,0.03,0.01,47.73,0.03,0.03,0.03,0.02,,,100.0,2.0,0.0,,105.PTIXW
13,盟军集团,1.59,0.5,45.88,1.09,1.8,1.09,1.09,161550977.0,-780.44,5227556.0,8168482.0,65.09,5.15,105.TROO
14,Momentus Inc Wt,0.02,0.0,43.69,0.01,0.02,0.01,0.01,,,30140.0,416.0,56.31,,105.MNTSW
15,TKB Critical Technologies 1 Wt,0.01,0.0,42.86,0.01,0.01,0.01,0.01,,,47100.0,519.0,10.39,,105.USCTW
16,Plutonian Acquisition Corp Wt,0.04,0.01,40.97,0.04,0.04,0.04,0.03,,,327.0,14.0,0.0,,105.PLTNW
17,Blockchain Coinvestors Acquisit,0.14,0.04,39.86,0.11,0.14,0.11,0.1,,,23635.0,3077.0,30.07,,105.BCSAW
18,Edible Garden AG Inc Wt,0.03,0.01,37.57,0.03,0.03,0.02,0.02,,,20860.0,422.0,38.67,,105.EDBLW
19,Mullen Automotive Inc,3.71,0.98,35.92,2.82,3.92,2.81,2.73,24313595.0,-0.04,6824255.0,24594925.0,40.84,104.15,105.MULN
20,Connexa Sports Technologies Inc,0.97,0.23,31.96,0.75,1.08,0.74,0.73,21414149.0,-2.18,5324616.0,4975937.0,46.44,24.01,105.YYAI
21,Revolution Medicines Inc Wt,0.3,0.07,30.43,0.3,0.3,0.3,0.23,,,100.0,30.0,0.0,,105.RVMDW
22,B. Riley Financial Inc,28.04,6.32,29.1,30.61,35.0,27.06,21.72,857540645.0,-8.58,8856522.0,277694992.0,36.56,28.96,105.RILY
23,Wilhelmina国际,6.55,1.47,28.94,5.05,7.6,5.01,5.08,33780603.0,78.02,491329.0,3315900.0,50.98,9.53,105.WHLM
24,Paysafe Ltd Wt,0.03,0.01,28.63,0.03,0.03,0.03,0.02,,,14124.0,417.0,11.62,,106.PSFE_WS
25,Rigel Resource Acquisition Corp,0.27,0.06,28.57,0.31,0.31,0.27,0.21,,,1483.0,441.0,20.71,,106.RRAC_WS
26,Ribbon Communications Inc,3.26,0.69,26.85,2.9,3.37,2.9,2.57,563049039.0,-8.5,1453088.0,4660898.0,18.29,0.84,105.RBBN
27,CuriosityStream Inc Wt,0.03,0.01,26.27,0.03,0.03,0.03,0.02,,,353.0,10.0,0.0,,105.CURIW
28,Prairie Operating Co,14.64,2.82,23.82,13.5,14.85,13.2,11.82,146782225.0,-1.86,202849.0,2823644.0,13.96,2.02,105.PROP
29,Babcock & Wilcox,1.14,0.22,23.76,1.0,1.15,0.99,0.92,101569242.0,-0.52,1081159.0,1157197.0,17.44,1.21,106.BW
30,ZOOZ Power Ltd Wt,0.07,0.01,23.65,0.07,0.07,0.06,0.06,,,4659.0,282.0,21.84,,105.ZOOZW
31,T-Rex 2X Long Tesla Daily Targe,9.07,1.71,23.23,9.2,9.7,8.73,7.36,,,5143507.0,47369510.0,13.18,,105.TSLT
32,海川证券,2.76,0.52,23.21,2.58,2.98,2.32,2.24,549640313.0,-32.08,5568572.0,14902615.0,29.46,2.8,105.MTC
33,Direxion Daily TSLA Bull 2X Sha,6.64,1.25,23.19,6.74,7.11,6.39,5.39,,,28023027.0,188280575.0,13.36,,105.TSLL
34,微美全息,0.89,0.17,23.17,0.89,0.93,0.82,0.73,77473635.0,-1.69,7444746.0,6539838.0,15.51,8.59,105.WIMI
35,GraniteShares 2x Long TSLA Dail,9.97,1.86,22.93,10.05,10.66,9.61,8.11,,,642506.0,6551445.0,12.95,,105.TSLR
36,SoundHound AI Inc Wt,2.14,0.39,22.29,2.07,2.5,2.0,1.75,,,168051.0,372720.0,28.57,,105.SOUNW
37,Prenetics Global Ltd Wt,0.01,0.0,22.22,0.01,0.01,0.01,0.01,,,118154.0,947.0,25.0,,105.PRENW
38,Cazoo Group Ltd-A,11.0,1.98,21.95,8.49,13.15,8.42,9.02,53801022.0,-0.07,8458027.0,97902284.0,52.44,172.93,106.CZOO
39,Heart Test Laboratories Inc,0.12,0.02,21.13,0.11,0.13,0.11,0.1,7854283.0,-1.23,25630618.0,3096129.0,20.02,39.09,105.HSCS
40,Red Cat Holdings Inc,1.45,0.25,20.83,1.27,1.6,1.25,1.2,107708204.0,-3.8,2079043.0,3005758.0,29.17,2.8,105.RCAT
41,Catheter Precision Inc,0.55,0.09,20.69,0.5,0.58,0.47,0.46,4165372.0,-0.06,142818.0,76023.0,24.58,1.89,107.VTAK
42,Holley Inc Wt,0.34,0.06,20.25,0.34,0.34,0.34,0.28,,,620.0,209.0,0.0,,106.HLLY_WS
43,Vocodia Holdings Corp Wt-B,18.0,3.0,20.0,16.0,18.0,13.1,15.0,,,7175.0,113872.0,32.67,,107.VHAI_WS_B
44,Immutep Ltd ADR,3.0,0.49,19.32,2.78,3.0,2.65,2.51,356055950.0,-13.15,549750.0,1575910.0,13.94,0.46,105.IMMP
45,Jasper Therapeutics Inc Wt,0.14,0.02,19.17,0.14,0.14,0.14,0.12,,,902.0,127.0,3.33,,105.JSPRW
46,Goldenstone Acquisition Ltd Wt,0.02,0.0,17.73,0.02,0.02,0.01,0.01,,,6000.0,90.0,23.4,,105.GDSTW
47,AudioEye Inc,15.77,2.29,17.0,16.22,16.22,14.41,13.48,183928399.0,-31.32,248305.0,3852689.0,13.43,2.13,105.AEYE
48,Worksport Ltd Wt,0.02,0.0,16.88,0.02,0.02,0.02,0.02,,,1800.0,32.0,8.13,,105.WKSPW
49,聪链,10.29,1.49,16.88,8.87,10.29,8.86,8.8,616462495.0,-162.95,8287.0,77989.0,16.19,0.01,105.ICG
50,SaverOne 2014 Ltd Wt,0.07,0.01,16.67,0.07,0.07,0.07,0.06,,,300.0,21.0,0.0,,105.SVREW
51,B. Riley Financial Inc Notes,17.95,2.46,15.85,17.0,18.12,17.0,15.49,,,85409.0,1501119.0,7.22,,105.RILYT
52,ARKO Corp Wt,0.17,0.02,15.25,0.18,0.18,0.17,0.15,,,600.0,106.0,6.78,,105.ARKOW
53,Xos Inc Wt,0.04,0.01,15.09,0.03,0.04,0.03,0.03,,,2300.0,88.0,15.68,,105.XOSWW
54,Sintx Technologies Inc,0.04,0.01,15.08,0.04,0.04,0.04,0.04,5054422.0,-0.61,32740484.0,1321808.0,15.64,26.69,105.SINT
55,WiSA Technologies Inc,6.2,0.81,14.94,5.26,6.8,5.23,5.39,14561794.0,-0.78,4967047.0,31311136.0,29.13,211.31,105.WISA
56,XWELL Inc,1.63,0.21,14.79,1.44,1.67,1.44,1.42,6818999.0,-0.25,11929.0,18573.0,16.2,0.29,105.XWEL
57,B. Riley Financial Inc Notes,16.35,2.1,14.74,15.94,17.2,15.6,14.25,,,238801.0,3908295.0,11.23,,105.RILYZ
58,GraniteShares 1.25x Long TSLA D,6.19,0.78,14.46,6.24,6.48,6.06,5.41,,,206827.0,1283008.0,7.8,,105.TSL
59,Dragonfly Energy Holdings Corp ,0.04,0.01,13.96,0.04,0.04,0.04,0.04,,,2099.0,77.0,12.82,,105.DFLIW
60,Presto Automation Inc Wt,0.02,0.0,13.94,0.02,0.02,0.02,0.02,,,306.0,5.0,0.0,,105.PRSTW
61,Bukit Jalil Global Acquisition ,0.25,0.03,13.64,0.25,0.25,0.23,0.22,,,10000.0,2496.0,7.86,,105.BUJAR
62,Payoneer Global Inc Wt,0.34,0.04,13.33,0.3,0.34,0.3,0.3,,,10421.0,3490.0,13.33,,105.PAYOW
63,Neuraxis Inc,3.19,0.37,13.19,3.05,3.19,3.05,2.82,21050252.0,-1.44,10485.0,33401.0,5.03,0.16,107.NRXS
64,Solidion Technology Inc-A,1.72,0.2,13.16,1.49,1.76,1.47,1.52,149477375.0,-7.56,326796.0,540800.0,19.08,0.38,105.STI
65,Markforged Holding Corp Wt,0.03,0.0,13.09,0.03,0.03,0.03,0.03,,,4694.0,130.0,12.73,,106.MKFG_WS
66,DatChat Inc,1.36,0.16,12.93,1.24,1.38,1.17,1.2,4077942.0,-0.49,65809.0,83102.0,17.5,2.19,105.DATS
67,Kurv Yield Premium Strategy Tes,18.37,2.07,12.7,18.37,18.37,18.37,16.3,,,8642.0,151605.0,0.0,,107.TSLP
68,DIH Holding US Inc Wt,0.05,0.01,12.5,0.04,0.05,0.04,0.04,,,6380.0,283.0,12.5,,105.DHAIW
69,Heart Test Laboratories Inc Wt,0.04,0.0,12.36,0.04,0.04,0.04,0.04,,,3478.0,131.0,14.04,,105.HSCSW
