,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
0,00001,长和,CKH HOLDINGS,EQTY,37.350,37.500,37.550,37.900,37.100,4878562,182170299,2024-06-13 16:08:15,37.300,37.350,-0.150,-0.4000000
1,00002,中电控股,CLP HOLDINGS,EQTY,66.250,64.950,65.400,66.400,65.400,4884524,321447381,2024-06-13 16:08:15,66.250,66.300,1.300,2.0015396
2,00003,香港中华煤气,HK & CHINA GAS,EQTY,5.900,5.790,5.800,5.930,5.800,21286899,125029852,2024-06-13 16:08:15,5.890,5.900,0.110,1.8998273
3,00004,九龙仓集团,WHARF HOLDINGS,EQTY,23.100,22.050,22.250,23.150,21.550,1485322,33750704,2024-06-13 16:08:15,23.000,23.100,1.050,4.7619048
4,00005,汇丰控股,HSBC HOLDINGS,EQTY,67.900,68.150,68.000,68.150,67.400,13649626,925385027,2024-06-13 16:08:15,67.850,67.900,-0.250,-0.3668379
5,00006,电能实业,POWER ASSETS,EQTY,42.950,42.300,42.500,42.950,42.350,2133010,91103847,2024-06-13 16:08:15,42.900,42.950,0.650,1.5366430
6,00007,智富资源投资,WISDOM WEALTH,EQTY,0.032,0.032,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.032,0.034,0.000,0.0000000
7,00008,电讯盈科,PCCW,EQTY,3.850,3.800,3.810,3.850,3.810,3059480,11745629,2024-06-13 16:08:15,3.850,3.860,0.050,1.3157895
8,00009,金奥国际,KEYNE LTD,EQTY,0.013,0.013,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.013,0.014,0.000,0.0000000
9,00010,恒隆集团,HANG LUNG GROUP,EQTY,8.630,8.650,8.680,8.720,8.600,2516372,21718541,2024-06-13 16:08:15,8.610,8.630,-0.020,-0.2312139
10,00011,恒生银行,HANG SENG BANK,EQTY,106.900,106.000,107.000,107.400,105.700,1155928,123042515,2024-06-13 16:08:15,106.900,107.000,0.900,0.8490566
11,00012,恒基地产,HENDERSON LAND,EQTY,21.900,21.850,22.000,22.150,21.650,1839144,40162624,2024-06-13 16:08:15,21.850,21.900,0.050,0.2288330
12,00013,和黄医药,HUTCHMED,EQTY,29.650,28.400,28.500,29.950,28.500,2589000,76613910,2024-06-13 16:08:15,29.600,29.650,1.250,4.4014085
13,00014,希慎兴业,HYSAN DEV,EQTY,11.700,11.620,11.800,11.800,11.560,865005,10078582,2024-06-13 16:08:15,11.700,11.720,0.080,0.6884682
14,00016,新鸿基地产,SHK PPT,EQTY,72.050,71.600,72.050,72.550,71.300,2593170,186450282,2024-06-13 16:08:15,72.000,72.050,0.450,0.6284916
15,00017,新世界发展,NEW WORLD DEV,EQTY,7.880,7.780,7.840,7.930,7.730,5670670,44395300,2024-06-13 16:08:15,7.860,7.880,0.100,1.2853470
16,00018,东方企控集团,ORIENTAL E H,EQTY,0.355,0.355,0.350,0.350,0.350,12000,4200,2024-06-13 16:08:15,0.355,0.370,0.000,0.0000000
