,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,839719,宁新新材,7.57,29.85,1.74,105414.0,72794870.77,29.5,7.57,5.85,5.86,5.83,10.95,15.84,-19.21,0.76,704717038.0,503877504.0,0.0,0.0,-7.68,-51.26
1,2,300072,海新能科,2.5,20.19,0.42,1461413.0,341191407.98,20.67,2.5,2.07,2.1,2.08,1.82,6.27,-9.01,0.89,5874300755.0,5828420753.0,0.0,0.0,38.89,-28.77
2,3,300085,银之杰,15.82,20.03,2.64,1543971.0,2193119027.34,20.79,15.82,13.08,13.08,13.18,2.2,24.32,-111.73,18.05,11179053264.0,10043585815.0,0.0,0.0,95.79,10.47
3,4,300803,指南针,43.96,20.01,7.33,369514.0,1517333145.93,19.14,43.96,36.95,38.0,36.63,4.32,9.14,-183.63,9.72,17978622282.0,17768636836.0,0.0,0.0,20.74,-27.05
4,5,300881,盛德鑫泰,27.9,20.0,4.65,86203.0,230003047.92,21.68,27.9,22.86,23.05,23.25,7.65,15.02,12.46,3.14,3069000000.0,1601634375.0,0.0,0.0,8.6,11.47
5,6,300769,德方纳米,27.66,20.0,4.61,308162.0,786488846.34,19.57,27.66,23.15,23.15,23.05,2.42,12.24,-7.51,1.22,7750000910.0,6963333029.0,0.0,0.0,-1.91,-54.68
6,7,300561,汇金科技,12.72,20.0,2.12,712433.0,824371239.52,24.62,12.72,10.11,10.88,10.6,1.51,39.51,-632.93,6.65,4173533442.0,2293877393.0,0.0,0.0,57.82,8.07
7,8,300333,兆日科技,6.72,20.0,1.12,790322.0,486481071.0,22.86,6.72,5.44,5.6,5.6,2.32,23.61,-560.55,3.57,2257920000.0,2249722050.0,0.0,0.0,39.13,-8.94
8,9,300080,易成新能,3.43,19.93,0.57,459246.0,150918743.28,19.58,3.43,2.87,2.87,2.86,0.93,3.54,-7.28,1.19,6425694895.0,4447440780.0,0.0,0.0,19.1,-29.13
9,10,300140,节能环境,5.42,19.91,0.9,590132.0,305562429.06,19.03,5.42,4.56,4.56,4.52,6.55,5.79,19.2,1.23,16796943227.0,5528713688.0,0.0,0.0,-9.21,-26.46
10,11,688205,德科立,34.6,17.85,5.24,60939.0,198597932.0,19.48,35.2,29.48,29.69,29.36,2.14,8.98,38.59,1.9,4182891745.0,2347775838.0,-0.29,-0.32,20.1,-15.57
11,12,837592,华信永道,19.9,16.78,2.86,89488.0,171573866.65,25.06,21.5,17.23,17.68,17.04,2.51,23.44,-24.73,3.51,1236785000.0,759806198.0,-0.5,1.02,30.15,-18.38
12,13,300380,安硕信息,21.51,15.34,2.86,308588.0,622453773.63,25.09,22.38,17.7,18.5,18.65,2.78,24.23,354.15,8.04,2977823966.0,2739804910.0,0.09,-0.55,40.04,1.41
13,14,688318,财富趋势,102.7,14.94,13.35,100504.0,981260992.0,17.75,106.0,90.14,92.51,89.35,2.7,5.49,93.58,5.48,18788192696.0,18788192696.0,-0.08,0.01,30.15,14.57
14,15,300892,品渥食品,18.5,13.85,2.25,117135.0,201707417.0,18.15,18.99,16.04,16.9,16.25,2.8,18.14,-56.15,1.8,1850000000.0,1194406250.0,-0.32,1.65,35.63,-25.19
15,16,300746,汉嘉设计,12.59,13.83,1.53,498440.0,579422981.8,26.67,13.27,10.32,10.58,11.06,1.08,22.46,381.98,2.41,2842045550.0,2793522317.0,-0.55,-2.18,100.48,28.08
