序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301613,N新铝,117.28,323.39,89.58,184009.0,2241402899.14,213.0,160.0,101.0,128.0,27.7,,80.93,55.1,7.99,11246467671.0,2666552201.0,0.21,-1.07,323.39,323.39
2,872374,云里物里,33.41,30.0,7.71,23843.0,79657792.5,0.0,33.41,33.41,33.41,25.7,0.42,8.16,76.12,10.86,2723516380.0,976083240.0,0.0,0.0,263.15,114.44
3,830779,武汉蓝电,35.49,30.0,8.19,35525.0,119092841.39,28.17,35.49,27.8,28.24,27.3,1.81,24.82,29.15,4.3,2030028000.0,507975503.0,0.0,0.0,90.81,2.19
4,839167,同享科技,33.59,29.99,7.75,198468.0,622191377.86,33.32,33.59,24.98,25.05,25.84,1.96,30.41,29.92,5.84,3685028739.0,2192568339.0,0.0,0.0,131.34,33.72
5,430198,微创光电,15.17,29.99,3.5,366466.0,540422249.3,19.02,15.17,12.95,12.98,11.67,2.08,52.17,-24.69,6.29,2447889938.0,1065607214.0,0.0,0.0,169.45,32.72
6,873152,天宏锂电,14.09,29.98,3.25,263162.0,348922413.3,29.24,14.09,10.92,11.0,10.84,2.77,46.91,220.6,5.62,1446347870.0,790371280.0,0.0,0.0,101.0,15.87
7,834765,美之高,12.66,29.98,2.92,53788.0,67209210.96,11.81,12.66,11.51,11.61,9.74,2.71,12.23,40.53,2.68,881301137.0,557005755.0,0.0,0.0,107.88,42.41
8,839790,联迪信息,22.98,29.98,5.3,100159.0,208082344.47,29.98,22.98,17.68,17.98,17.68,1.21,18.43,2913.01,5.69,1814662120.0,1248939055.0,0.0,0.0,212.23,93.76
9,831167,鑫汇科,28.28,29.96,6.52,35694.0,100942801.68,0.0,28.28,28.28,28.28,21.76,0.78,12.41,66.29,5.45,1413517571.0,813294707.0,0.0,0.0,139.05,46.68
10,834770,艾能聚,18.22,29.96,4.2,290151.0,494307118.87,37.87,18.22,12.91,14.0,14.02,1.47,35.43,61.83,4.18,2371008229.0,1492105036.0,0.0,0.0,237.41,57.2
11,835985,海泰新能,15.23,29.84,3.5,640369.0,895931778.05,37.85,15.24,10.8,11.88,11.73,1.84,47.62,28.87,3.55,4713322526.0,2047964073.0,0.0,0.2,201.58,75.66
12,833394,民士达,30.5,27.62,6.6,225664.0,659619581.12,31.26,31.07,23.6,26.0,23.9,1.93,52.74,47.29,6.51,4460625000.0,1305056875.0,0.33,2.66,143.03,63.98
13,836699,海达尔,46.5,26.02,9.6,81971.0,371559731.43,29.76,47.97,36.99,37.0,36.9,1.59,64.93,33.3,8.22,2121576450.0,587076450.0,0.37,8.9,154.79,181.48
14,835237,力佳科技,25.5,22.89,4.75,75338.0,186098119.12,26.36,26.97,21.5,21.56,20.75,1.68,11.58,26.21,3.68,1694628000.0,1659323250.0,1.63,4.51,144.72,94.81
15,870204,沪江材料,13.03,22.23,2.37,176811.0,232646251.77,20.36,13.85,11.68,12.88,10.66,2.73,35.45,35.23,2.62,1228569995.0,649950160.0,0.62,0.23,71.0,15.51
16,831305,海希通讯,20.59,21.05,3.58,198260.0,416045767.35,29.75,22.11,17.05,17.05,17.01,1.81,18.01,41.13,3.67,2887953400.0,2266758371.0,-0.05,-1.39,108.82,72.73
